srcStateName,srcYear,Cognizable crimes reported by IPC,Registered murder cases,Registered cases of offence against state,Cases reported under the Prevention of Corruption Act and related sections of IPC,Value of property stolen,Value of property recovered,Cases registered by Railway Protection Force,Registered cases of crime or atrocities against Scheduled Castes (SCs),Registered cases of crime or atrocities against Scheduled Tribes (STs),Cognizable crimes registered under SLL (Special & Local Laws).,Cognizable crimes registered under IPC (Indian Penal Code) and SLL (Special & Local Laws),Cases registered under crime against women (including both IPC and SLL (Special & Local Laws crimes),Cases of crime against foreigners,Registered cyber-crime cases,Cases registered under economic offences,Cases registered under environment related offences,Cases registered under IPC and SLL (Special & Local Laws) in which juveniles were apprehended.,YearCode,Year
D&N Haveli,2017,266,3,0,0,1.3601773,0.7370759,0,0,5,43,309,20,0,1,18,0,11,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,2017,128775,970,27,148,245.6410588,51.4941531,73690,1477,319,206024,334799,8133,4,458,3477,78,2013,2017,"Calendar Year (Jan - Dec), 2017"
Goa,2017,2965,31,6,4,11.0178457,1.598277,383,10,2,978,3943,369,28,13,200,28,24,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,2017,58481,919,14,27,50.2654788,15.3216177,22752,283,399,32035,90516,7996,1,171,1719,65,1952,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,2017,180573,2803,146,128,158.3614969,44.4156112,60056,6747,80,55482,236055,14711,9,433,8067,51,1142,2017,"Calendar Year (Jan - Dec), 2017"
Assam,2017,104324,1144,323,27,108.3246274,14.8700988,6795,10,65,5628,109952,23082,2,1120,7363,105,192,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,2017,2565,79,16,11,20.4031238,1.9912572,0,2,0,181,2746,337,0,1,115,2,48,2017,"Calendar Year (Jan - Dec), 2017"
Chandigarh,2017,3240,25,3,2,8.2050288,2.7264362,1444,1,0,2222,5462,453,1,32,123,4,159,2017,"Calendar Year (Jan - Dec), 2017"
A&N Islands,2017,638,9,1,7,1.171352,0.5271764,0,0,2,2376,3014,132,0,3,40,2,16,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,2017,163999,2001,167,15,100.6620262,29.766204,37612,138,122,31538,195537,30992,21,568,10052,88,577,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,2017,12889,181,7,13,15.5067807,8.1757666,5990,96,11,15972,28861,1944,5,124,1122,75,159,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,2017,310084,4324,2055,58,293.3475292,100.126997,137693,11444,88,289998,600082,56011,39,4971,20717,1863,825,2017,"Calendar Year (Jan - Dec), 2017"
Tripura,2017,3918,124,16,1,4.3691751,1.1242132,51,1,1,320,4238,972,0,7,149,0,37,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,2017,119858,805,98,55,120.3862194,62.2505574,17541,1466,435,13339,133197,17521,7,1209,10840,307,1365,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,2017,178836,1560,1802,257,151.7078846,118.0015741,82221,1362,22,242040,420876,5397,43,228,3511,20914,2376,2017,"Calendar Year (Jan - Dec), 2017"
Sikkim,2017,719,13,0,0,1.5410468,0.36564,0,5,6,260,979,163,0,1,61,0,24,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,2017,169941,1473,74,404,237.4298518,125.1324264,73388,4238,984,75612,245553,25993,19,1304,21645,10122,2048,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,2017,39288,659,60,167,92.3338483,32.6889184,22420,118,0,31385,70673,4620,11,176,3788,35,215,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,2017,83583,1267,26,494,133.0793699,39.3702052,34621,1969,700,20283,103866,20098,0,824,3451,3,1111,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,2017,1068,36,14,12,4.9179199,1.2215873,87,0,0,485,1553,79,0,0,66,0,12,2017,"Calendar Year (Jan - Dec), 2017"
Mizoram,2017,2118,21,1,5,6.2012808,0.4521947,0,0,0,620,2738,301,1,10,91,1,21,2017,"Calendar Year (Jan - Dec), 2017"
Meghalaya,2017,3521,87,38,1,8.8124516,1.2340167,0,0,0,431,3952,567,0,39,294,0,93,2017,"Calendar Year (Jan - Dec), 2017"
Manipur,2017,3416,63,333,1,7.2095632,1.433081,0,0,1,834,4250,236,0,74,256,1,12,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,2017,132336,1054,150,199,127.0091477,56.262036,76356,1969,341,15666,148002,17909,3,931,6299,135,1122,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,2017,288879,2103,253,925,1521.331323,207.7489073,234826,1689,464,178874,467753,31979,61,3604,13941,439,6026,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,2017,269512,1908,32,294,163.7512053,65.4511509,91906,5892,2289,110170,379682,29788,5,490,3218,46,6491,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,2017,235846,305,315,142,57.4834954,20.4184909,33109,916,144,417654,653500,11057,19,320,4678,6780,481,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,2017,146354,1384,111,289,295.2527802,125.3063094,37873,1878,401,37709,184063,14078,30,3174,7604,494,499,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,2017,44595,1487,78,170,34.7385441,3.1909301,23157,541,237,8069,52664,5911,0,720,3510,158,75,2017,"Calendar Year (Jan - Dec), 2017"
Jammu & Kashmir,2017,22667,152,182,84,29.6137753,10.3697461,1133,0,0,2941,25608,3129,0,63,691,13,187,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,2017,13007,99,68,29,18.0202617,8.5105712,274,109,3,4789,17796,1246,4,56,574,196,184,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,2017,97924,1046,2576,82,213.4200002,64.0436556,15478,762,0,126892,224816,11370,10,504,5923,42,1030,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,2018,147574,1072,42,333,311.6975968,80.6461043,74214,1426,311,245620,393194,8329,3,702,4049,102,2040,2018,"Calendar Year (Jan - Dec), 2018"
Goa,2018,2740,29,22,11,8.5523679,2.8907685,464,5,5,1144,3884,362,34,29,215,5,20,2018,"Calendar Year (Jan - Dec), 2018"
Chhattisgarh,2018,60178,917,18,27,53.0315023,17.6909347,23987,264,388,38055,98233,8587,0,139,1871,54,1911,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,196911,2934,62,69,119.2091809,22.219691,41400,7061,64,65904,262815,16920,0,374,9209,152,671,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,112232,1241,578,25,110.1841057,24.1374176,8698,8,6,8340,120572,27728,7,2022,8826,94,150,2018,"Calendar Year (Jan - Dec), 2018"
Arunachal Pradesh,2018,2613,62,9,18,11.373719,2.2370184,0,0,0,204,2817,368,0,7,122,2,31,2018,"Calendar Year (Jan - Dec), 2018"
D&N Haveli,2018,255,7,0,2,5.8329009,1.7827723,0,1,3,60,315,38,0,0,26,1,12,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2018,3072,20,1,3,9.8999295,3.5143653,1124,1,0,2895,5967,442,2,30,205,0,137,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,706,11,3,1,1.1096867,0.599067,0,0,1,2993,3699,147,3,7,37,0,25,2018,"Calendar Year (Jan - Dec), 2018"
West Bengal,2018,157610,1933,184,9,97.1373321,47.4827765,54107,119,101,30453,188063,30394,6,335,9682,64,503,2018,"Calendar Year (Jan - Dec), 2018"
Uttarakhand,2018,14739,211,8,17,18.2205321,11.5187513,6225,58,7,19976,34715,2817,2,171,1528,194,179,2018,"Calendar Year (Jan - Dec), 2018"
Uttar Pradesh,2018,342355,4018,2503,84,324.4339257,94.1189138,140386,11924,145,242802,585157,59445,62,6280,22822,1693,1048,2018,"Calendar Year (Jan - Dec), 2018"
