Rowid,Country,State lgd code,State,Yearcode,Year,Cognizable crimes reported by ipc,Registered murder cases,Registered cases of offence against state,Cases reported under the prevention of corruption act and related sections of ipc,Value of property stolen,Value of property recovered,Cases registered by railway protection force,Registered cases of crime or atrocities against scheduled castes (scs),Registered cases of crime or atrocities against scheduled tribes (sts),Cognizable crimes registered under sll (special & local laws).,Cognizable crimes registered under ipc (indian penal code) and sll (special & local laws),Cases registered under crime against women (including both ipc and sll (special & local laws crimes),Cases of crime against foreigners,Registered cyber-crime cases,Cases registered under economic offences,Cases registered under environment related offences,Cases registered under ipc and sll (special & local laws) in which juveniles were apprehended.
1,India,1,Jammu And Kashmir,2016,"Calendar Year (Jan - Dec), 2016",23965.14217686489010475187,138.89433856229600403554,180.95389178890676582095,53.79710296426957902785,24.4474208511684679948313975819,11.016833079259761067888491534,1000.62611513541416991801,0.97812914480490143687,0.00000000000000000000,2076.56817442080575047501,26041.71035128569585522688,2787.66806269396909507950,0.00000000000000000000,27.38761605453724023236,627.95891096474672247054,3.91251657921960574748,193.66957067137048450026
2,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",22171.25332529270086953229,148.67563001034501840424,178.01950435449206151034,82.16284816361172069708,28.966096708633513490115315311,10.142950884636961935867078707,1108.22032106395332797371,0.00000000000000000000,0.00000000000000000000,2876.67781487121512583467,25047.93114016391599536696,3060.56609409453659596623,0.00000000000000000000,61.62213612270879052281,675.88723906018689287717,12.71567888246371867931,182.91015007851656869469
3,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",23686.37537059549319524392,177.04137520968716007347,274.85428969017730376047,82.16284816361172069708,32.670412826232356098329201965,10.866896934220505973002557165,2602.80165432584272351107,0.97812914480490143687,0.00000000000000000000,2993.07518310299839682220,26679.45055369849159206612,3361.82987069444623852219,0.00000000000000000000,71.40342757075780489151,684.69040136343100580900,7.82503315843921149496,278.76680626939690950795
4,India,2,Himachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",13386,101,58,28,19.5650217,8.6154091,236,116,2,3863,17249,1222,4,31,507,178,204
5,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",13007,99,68,29,18.0202617,8.5105712,274,109,3,4789,17796,1246,4,56,574,196,184
6,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",14604,99,81,28,17.9433154,6.9744091,323,130,1,4990,19594,1633,8,69,600,270,232
7,India,3,Punjab,2016,"Calendar Year (Jan - Dec), 2016",40007,771,32,171,106.0124781,38.8291771,22661,132,2,17732,57739,5105,9,102,4271,4,117
8,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",39288,659,60,167,92.3338483,32.6889184,22420,118,0,31385,70673,4620,11,176,3788,35,215
9,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",41640,684,39,176,102.5439463,31.1491528,20967,168,0,28678,70318,5302,5,239,4835,35,236
10,India,4,Chandigarh,2016,"Calendar Year (Jan - Dec), 2016",2996,26,2,15,7.9927954,2.7808064,1424,1,0,1260,4256,414,4,26,210,3,96
11,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",3240,25,3,2,8.2050288,2.7264362,1444,1,0,2222,5462,453,1,32,123,4,159
12,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",3072,20,1,3,9.8999295,3.5143653,1124,1,0,2895,5967,442,2,30,205,0,137
13,India,5,Uttarakhand,2016,"Calendar Year (Jan - Dec), 2016",10867,194,4,28,13.26644,7.1634128,5142,65,3,5207,16074,1588,0,62,1289,49,124
14,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",12889,181,7,13,15.5067807,8.1757666,5990,96,11,15972,28861,1944,5,124,1122,75,159
15,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",14739,211,8,17,18.2205321,11.5187513,6225,58,7,19976,34715,2817,2,171,1528,194,179
16,India,6,Haryana,2016,"Calendar Year (Jan - Dec), 2016",88527,1057,1286,139,261.5362188,76.7635302,14686,639,0,54584,143111,9839,8,401,5123,44,1186
17,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",97924,1046,2576,82,213.4200002,64.0436556,15478,762,0,126892,224816,11370,10,504,5923,42,1030
18,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",108212,1104,418,107,230.0743929,65.8951568,14950,961,0,83017,191229,14326,8,418,5744,37,1178
19,India,7,Delhi,2016,"Calendar Year (Jan - Dec), 2016",209519,528,22,16,3278.814716,157.0157603,24293,54,2,7401,216920,15310,154,98,6427,18,2499
20,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",232066,487,11,9,752.6885573,77.5788825,24747,48,4,12648,244714,13076,169,162,5200,21,2965
21,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",249012,513,11,6,1017.663242,61.8092238,24432,36,0,13600,262612,13640,189,189,4918,17,2727
22,India,8,Rajasthan,2016,"Calendar Year (Jan - Dec), 2016",180398,1551,82,387,240.0563412,131.3581248,59721,5134,1195,70749,251147,27422,25,941,23589,1381,2273
