srcStateName,srcYear,Crime head IPC ( Indian Penal Code ) Category,Crime head IPC ( Indian Penal Code ) Sub-category,Incidence of IPC ( Indian Penal Code ) crimes,Victims of IPC ( Indian Penal Code ) crimes,IPC ( Indian Penal Code ) Crime Rate per lakh person,YearCode,Year
Jharkhand,2020,Total Cognizable IPC crimes,,51033,54168,133.9,2020,"Calendar Year (Jan - Dec), 2020"
Nagaland,2020,Offences against State,"Others (Sec.121, 121A, 122 & 123 IPC)",1,1,0,2020,"Calendar Year (Jan - Dec), 2020"
Manipur,2020,Other IPC Crimes,,233,240,7.4,2020,"Calendar Year (Jan - Dec), 2020"
Assam,2018,Other IPC Crimes,Other IPC Crimes,13589,14398,39.9,2018,"Calendar Year (Jan - Dec), 2018"
Tripura,2020,Offences against Public Tranquillity,Affray (Sec.159 & 160 IPC),0,0,0,2020,"Calendar Year (Jan - Dec), 2020"
Meghalaya,2019,Other IPC Crimes,,215,219,6.7,2019,"Calendar Year (Jan - Dec), 2019"
Jammu & Kashmir,2018,Miscellaneous IPC Crimes,Miscellaneous IPC Crimes(Total),7578,9369,56.4,2018,"Calendar Year (Jan - Dec), 2018"
Meghalaya,2020,Other IPC Crimes,,183,124,5.6,2020,"Calendar Year (Jan - Dec), 2020"
Nagaland,2019,Other IPC Crimes,,39,34,1.8,2019,"Calendar Year (Jan - Dec), 2019"
Punjab,2019,Other IPC Crimes,,4133,3581,13.8,2019,"Calendar Year (Jan - Dec), 2019"
Mizoram,2020,Other IPC Crimes,,70,60,5.8,2020,"Calendar Year (Jan - Dec), 2020"
Manipur,2018,Other IPC Crimes,Other IPC Crimes,255,154,8.3,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2020,Offences against Property,Dacoity Dacoity (Total),39,39,0.1,2020,"Calendar Year (Jan - Dec), 2020"
Andhra Pradesh,2020,Total Cognizable IPC crimes,,188997,195765,359.3,2020,"Calendar Year (Jan - Dec), 2020"
Gujarat,2018,Offences affecting the Human Body,Abetment of Suicide (Sec.305/306 IPC),562,580,0.8,2018,"Calendar Year (Jan - Dec), 2018"
Nagaland,2020,Other IPC Crimes,,40,32,1.8,2020,"Calendar Year (Jan - Dec), 2020"
Tamil Nadu,2019,Other IPC Crimes,,12919,13164,17,2019,"Calendar Year (Jan - Dec), 2019"
Telangana,2019,Other IPC Crimes,,15188,16267,40.7,2019,"Calendar Year (Jan - Dec), 2019"
Punjab,2020,Offences affecting the Human Body,Murder (Sec.302 IPC,757,882,2.5,2020,"Calendar Year (Jan - Dec), 2020"
Haryana,2018,Offences affecting the Human Body,Murder (Sec.302 IPC),1104,1140,3.9,2018,"Calendar Year (Jan - Dec), 2018"
Karnataka,2018,Offences against State,Offences against State |Sedition (Sec.124A IPC),2,2,0,2018,"Calendar Year (Jan - Dec), 2018"
Maharashtra,2018,Other IPC Crimes,Other IPC Crimes,9039,9927,7.4,2018,"Calendar Year (Jan - Dec), 2018"
Nagaland,2018,Other IPC Crimes,Other IPC Crimes,65,63,3,2018,"Calendar Year (Jan - Dec), 2018"
Odisha,2018,Other IPC Crimes,Other IPC Crimes,5561,6499,12.8,2018,"Calendar Year (Jan - Dec), 2018"
Puducherry,2018,Other IPC Crimes,Other IPC Crimes,258,258,17.4,2018,"Calendar Year (Jan - Dec), 2018"
Punjab,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |G) Students,0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Tamil Nadu,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |N) Electricity/Power Supply Disputes,3,6,0,2018,"Calendar Year (Jan - Dec), 2018"
Tripura,2018,Offences against State,"Offences against State |Others (Sec.121, 121A, 122 & 123 IPC)",1,1,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,"Arson (Sec.435, 436 & 438 IPC)",4,4,1,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Cheating by Impersonation (Sec.419 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Circulate False/Fake News/Rumours (Sec.505 IPC/Sec.505 r/w IT Act),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Criminal Intimidation (Sec.506 r/w Other IPC Crimes),2,2,0.5,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Criminal Trespass (Sec.447 to 452 IPC),10,10,2.5,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Cruelty by Husband or his Relatives (Sec.498-A IPC),4,4,2.10526315789474,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Disobedience to order duly promulgated by Public Servant (Sec.188),1,1,0.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Harbouring an Offender (Sec.212/216/216A IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Insult to the Modesty of Women (Sec.509 IPC),4,4,2.10526315789474,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Miscellaneous IPC Crimes(Total),263,340,66.4,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Obscene Acts and Songs at Public Places (Sec.294),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Obstruction on Public way (Sec.283 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Offences related to Mischief (Sec.428 to 433),1,1,0.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Offences relating to Religion (Sec.295 to 297),1,1,0.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |A) Rash Driving on Public Way (Sec.279 or Sec.279 r/w 336/Other IPC),5,5,1.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |B) Causing Hurt by Rash/Negligent Driving on Public Way (Sec.279 r/w 337 IPC),175,233,44.2,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |Rash Driving on Public way (Total),236,313,59.6,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Rash Driving on Public way |C) Causing Grievous Hurt by Rash/Negligent Driving on Public way(Sec.279 r/w 338 IPC),56,75,14.1,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Miscellaneous IPC Crimes,Sale of obscene Books/Objects (Sec.292 & 293),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Counterfeiting |A) Counterfeit Coin (Sec.231-235,237,238-240 & 242-254 IPC)",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences Relating to Documents & Property Marks,Counterfeiting |B) Counterfeiting Government Stamp (Sec.255 to 260 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences Relating to Documents & Property Marks,Counterfeiting |C) Counterfeiting of Seal or Mark (Sec.472/473 IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences Relating to Documents & Property Marks,Counterfeiting |Counterfeiting (Total),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences Relating to Documents & Property Marks,Counterfeiting |D) Counterfeit Currency & Bank notes (Sec.489-A to 489-E IPC),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud | Cheating (Sec.420 IPC)",17,17,4.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud | Forgery",2,2,0.5,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Forgery, Cheating & Fraud (Total)",32,32,8.1,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |Fraud (Sec.420 r/w Sec.465,468-471 IPC/IT Act)",13,13,3.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |a) Bank",2,2,0.5,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |b) ATMs",4,4,1,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2020,Other IPC Crimes,,2400,2816,18,2020,"Calendar Year (Jan - Dec), 2020"
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |c) Credit Card/Debit Card",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |d) Other Frauds",7,7,1.8,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Offences Relating to Documents & Property Marks,Offences Relating to Documents & Property Marks (Total),32,32,8.1,2018,"Calendar Year (Jan - Dec), 2018"
