ROWID,Country,State lgd code,State,Yearcode,Year,Crime head ipc ( indian penal code ) category,Crime head ipc ( indian penal code ) sub-category,Incidence of ipc ( indian penal code ) crimes,Victims of ipc ( indian penal code ) crimes,Ipc ( indian penal code ) crime rate per lakh person
1,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,"Arson (Sec.435, 436 & 438 IPC)",187.80079580254107587904,194.64769981617538593713,1.4
2,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Cheating by Impersonation (Sec.419 IPC),0.00000000000000000000,0.00000000000000000000,0
3,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Circulate False/Fake News/Rumours (Sec.505 IPC/Sec.505 r/w IT Act),12.71567888246371867931,12.71567888246371867931,0.1
4,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Criminal Intimidation (Sec.506 r/w Other IPC Crimes),42.05955322661076178541,46.95019895063526896976,0.3
5,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Criminal Trespass (Sec.447 to 452 IPC),1106.26406277434352509997,1146.36735771134448401164,8.4
6,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Cruelty by Husband or his Relatives (Sec.498-A IPC),317.89197206159296698275,329.62952179925178422519,5.11006289308176
7,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Disobedience to order duly promulgated by Public Servant (Sec.188),460.69882720310857676577,464.61134378232818251325,3.5
8,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Harbouring an Offender (Sec.212/216/216A IPC),0.97812914480490143687,0.97812914480490143687,0
9,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Insult to the Modesty of Women (Sec.509 IPC),24.45322862012253592175,24.45322862012253592175,0.393081761006289
10,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Miscellaneous IPC Crimes,Miscellaneous IPC Crimes(Total),7412.26265933154308860086,9164.09195767712156203503,56.4
