srcStateName,srcYear,Crime head Special & Local Laws (SLL) Category,Crime head Special & Local Laws (SLL) Sub-category,Incidence of Special & Local Laws (SLL) crimes,Victims of Special & Local Laws (SLL) crimes,Special & Local Laws (SLL) Crime Rate,YearCode,Year
A&N Islands,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against SCs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Arunachal Pradesh,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against SCs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Arunachal Pradesh,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The SC/ST Prevention of Atrocities Act, 1989 against SCs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against STs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The SC/ST Prevention of Atrocities Act, 1989/2015 against STs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Delhi,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against STs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Haryana,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against STs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Haryana,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The SC/ST Prevention of Atrocities Act, 1989/2015 against STs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Lakshadweep,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against SCs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Mizoram,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against SCs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Mizoram,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The SC/ST Prevention of Atrocities Act, 1989 against SCs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Nagaland,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against SCs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Puducherry,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against STs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Punjab,2018,Schedule Castes and Scheduled Tribes - Related Acts,"The Protection of Civil Rights Act, 1955 against STs",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Manipur,2019,Finance & Economic Acts,"The Chit Funds Acts, 1982",0,,0,2019,"Calendar Year (Jan - Dec), 2019"
Sikkim,2018,Finance & Economic Acts,Finance & Economic Acts (Total),1,,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Delhi,2019,Finance & Economic Acts,"The Chit Funds Acts, 1982",0,,0,2019,"Calendar Year (Jan - Dec), 2019"
Andhra Pradesh,2019,Total Cognizable SLL Crimes,,26522,1894,50.7,2019,"Calendar Year (Jan - Dec), 2019"
Arunachal Pradesh,2018,Foreigner & Passport - Related Acts,"The Citizenship Act, 1955",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Delhi,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |Fire Arms",1140,,5.8,2018,"Calendar Year (Jan - Dec), 2018"
Goa,2018,Liquor & Narcotic Drugs - Related Acts,Prohibition Act (State),0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Gujarat,2018,Arms/Explosive - Related Acts,"The Explosives Act, 1984",101,,0.2,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,Telegraph / Cinematograph Acts,"The Cinematograph Act, 1952",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Kerala,2018,Telegraph / Cinematograph Acts,"The Cinematograph Act, 1952",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Odisha,2018,Finance & Economic Acts,"The Chit Funds Acts, 1982",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Punjab,2018,Liquor & Narcotic Drugs - Related Acts,Prohibition Act (State),0,,0,2018,"Calendar Year (Jan - Dec), 2018"
Mizoram,2019,Crime Against Women - Related Acts,"The Dowry Prohibition Act, 1961",0,0,0,2019,"Calendar Year (Jan - Dec), 2019"
Karnataka,2019,Offences against State - Related Acts,"The Official Secrets Act, 1923",0,,0,2019,"Calendar Year (Jan - Dec), 2019"
Chhattisgarh,2019,Arms/Explosive - Related Acts,"The Arms Act, 1959_Fire Arms",127,,0.4,2019,"Calendar Year (Jan - Dec), 2019"
Tripura,2019,Finance & Economic Acts,"Prevention of Corruption Act, 1988",4,,0.1,2019,"Calendar Year (Jan - Dec), 2019"
Odisha,2019,Environment & Pollution - Related Acts,Noise Pollution Acts,0,,0,2019,"Calendar Year (Jan - Dec), 2019"
Daman & Diu,2019,Telegraph / Cinematograph Acts,"The Cinematograph Act, 1952",0,,0,2019,"Calendar Year (Jan - Dec), 2019"
Arunachal Pradesh,2019,Other Regulatory & Enforcement - Acts,"The Electricity Act, 2003",0,,0,2019,"Calendar Year (Jan - Dec), 2019"
Kerala,2019,Other Regulatory & Enforcement - Acts,Other State Local Acts,50304,,143,2019,"Calendar Year (Jan - Dec), 2019"
Tripura,2020,Arms/Explosive ‐ Related Acts,Arms/Explosive ‐ Related Acts (Total)_,3,,0.1,2020,"Calendar Year (Jan - Dec), 2020"
Maharashtra,2020,Environment & Pollution ‐ Related Acts,Noise Pollution Acts,2,,0,2020,"Calendar Year (Jan - Dec), 2020"
Puducherry,2020,Environment & Pollution ‐ Related Acts,Noise Pollution Acts,0,,0,2020,"Calendar Year (Jan - Dec), 2020"
Tripura,2020,Railways ‐ Related Acts,"The Indian Railways Act, 1989",0,,0,2020,"Calendar Year (Jan - Dec), 2020"
,2020,Telegraph / Cinematograph Acts,"The Indian Telegraph Act, 1988",0,,0,2020,"Calendar Year (Jan - Dec), 2020"
Jharkhand,2018,Finance & Economic Acts,Finance & Economic Acts (Total),387,,1,2018,"Calendar Year (Jan - Dec), 2018"
Kerala,2018,Children Related - Acts,"The Medical Termination of Pregnancy Act, 1971",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2020,Other SLL Crimes,,8,0,0.7,2020,"Calendar Year (Jan - Dec), 2020"
Madhya Pradesh,2018,Liquor & Narcotic Drugs - Related Acts,"The Excise Act, 1944",89769,,110.2,2018,"Calendar Year (Jan - Dec), 2018"
Odisha,2018,Children Related - Acts,"The Medical Termination of Pregnancy Act, 1971",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
Tripura,2018,Liquor & Narcotic Drugs - Related Acts,Prohibition Act (State),0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Arms/Explosive - Related Acts,Arms/Explosive - Related Acts (Total),1,,0.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 | a) Legal/ Licensed Arms",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |Fire Arms",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |The Arms Act, 1959 (Total)",1,,0.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959 |b) Illegal/ Unlicensed Arms",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Arms/Explosive - Related Acts,"The Arms Act, 1959|Other Arms",1,,0.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Arms/Explosive - Related Acts,"The Explosive Substances Act, 1884 & 1908",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Arms/Explosive - Related Acts,"The Explosives Act, 1984",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Children Related - Acts,Children Related – Acts (Total),73,77,52.1428571428571,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,Arms/Explosive - Related Acts,"The Explosive Substances Act, 1884 & 1908",19,,0.1,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Children Related - Acts,"The Child Labour Prohibition & Regulation Act, 1986",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Children Related - Acts,"The Juvenile Justice Care and Protection of Children Act, 2000 & 2015",4,6,2.85714285714286,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Children Related - Acts,"The Medical Termination of Pregnancy Act, 1971",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Children Related - Acts,"The Pre-Natal Diagnostic Techniques Reg and Prev of Misuse Act, 1994",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Children Related - Acts,"The Prohibition of Child Marriage Act, 2006",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Children Related - Acts,"The Protection of Children from Sexual Offences Act, 2012",69,71,49.2857142857143,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Crime Against Women - Related Acts,Crime Against Women – Related Acts (Total),0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Crime Against Women - Related Acts,"The Dowry Prohibition Act, 1961",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Crime Against Women - Related Acts,"The Immoral Traffic Prevention Act, 1956",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Crime Against Women - Related Acts,"The Indecent Representation of Women Prohibition Act, 2012",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Crime Against Women - Related Acts,"The Protection of Women from Domestic Violence Act, 2005",0,0,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Environment & Pollution - Related Acts,Environment & Pollution– Related Acts (Total),0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Environment & Pollution - Related Acts,Noise Pollution Acts,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Environment & Pollution - Related Acts,The Air & The Water Prevention & Control of Pollution Act,0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Environment & Pollution - Related Acts,"The Cigarette and Other Tobacco Products Act, 2003",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Environment & Pollution - Related Acts,"The Environmental Protection Act, 1986",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Environment & Pollution - Related Acts,"The Forest Act, 1927 & The Forest Conservation Act, 1980",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Environment & Pollution - Related Acts,"The National Green Tribunal Act, 2010",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Environment & Pollution - Related Acts,"The Wildlife Protection Act, 1972",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Finance & Economic Acts,Finance & Economic Acts (Total),0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Finance & Economic Acts,"Prevention of Corruption Act, 1988",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Finance & Economic Acts,"The Benami Transaction Prohibition Act, 1988 & 2016",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Finance & Economic Acts,"The Chit Funds Acts, 1982",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Finance & Economic Acts,"The Lotteries Regulation Act, 1998",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Finance & Economic Acts,"The Mines and Minerals Development and Regulation Act, 1957",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Finance & Economic Acts,"The Negotiable Instruments Act, 1881",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,"Food, Drugs and Essential Commodities Acts","Food, Drugs and Essential Commodities Acts (Total)",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,"Food, Drugs and Essential Commodities Acts","The Essential Commodities Act, 1955",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,"Food, Drugs and Essential Commodities Acts","The Food Safety & Standards Act, 2006",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,"Food, Drugs and Essential Commodities Acts","The Prevention of Food Adulteration Act, 1954",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Foreigner & Passport - Related Acts,Foreigner & Passport – Related Acts (Total),9,,2.3,2018,"Calendar Year (Jan - Dec), 2018"
A&N Islands,2018,Foreigner & Passport - Related Acts,"The Citizenship Act, 1955",0,,0,2018,"Calendar Year (Jan - Dec), 2018"
