ROWID,Country,State lgd code,State,Yearcode,Year,Crime head special & local laws (sll) category,Crime head special & local laws (sll) sub-category,Incidence of special & local laws (sll) crimes,Victims of special & local laws (sll) crimes,Special & local laws (sll) crime rate
1,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Arms/Explosive - Related Acts,Arms/Explosive - Related Acts (Total),396.14230364598508193235,,3
2,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Arms/Explosive - Related Acts,"The Arms Act, 1959 | a) Legal/ Licensed Arms",2.93438743441470431061,,0
3,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Arms/Explosive - Related Acts,"The Arms Act, 1959 |b) Illegal/ Unlicensed Arms",150.63188829995482127798,,1.1
4,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Arms/Explosive - Related Acts,"The Arms Act, 1959 |Fire Arms",153.56627573436952558859,,1.2
5,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Arms/Explosive - Related Acts,"The Arms Act, 1959|Other Arms",171.17260034085775145225,,1.3
6,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Arms/Explosive - Related Acts,"The Arms Act, 1959 |The Arms Act, 1959 (Total)",324.73887607522727704084,,2.5
7,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Arms/Explosive - Related Acts,"The Explosives Act, 1984",9.78129144804901436870,,0.1
8,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Arms/Explosive - Related Acts,"The Explosive Substances Act, 1884 & 1908",61.62213612270879052281,,0.5
9,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Children Related - Acts,Children Related – Acts (Total),32.27826177856174741671,49.88458638504997328037,0.733333333333333
10,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Children Related - Acts,"The Child Labour Prohibition & Regulation Act, 1986",0.00000000000000000000,0.00000000000000000000,0
11,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Children Related - Acts,"The Juvenile Justice Care and Protection of Children Act, 2000 & 2015",0.97812914480490143687,0.97812914480490143687,0.0222222222222222
12,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Children Related - Acts,"The Medical Termination of Pregnancy Act, 1971",0.00000000000000000000,0.00000000000000000000,0
13,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Children Related - Acts,"The Pre-Natal Diagnostic Techniques Reg and Prev of Misuse Act, 1994",0.00000000000000000000,0.00000000000000000000,0
